"Impact_Direction","Status","Location","Country_Territory","Sub_Region","Latitude","Longitude","Coordinate_Precision","Coordinate_Note","Description","Source","Source_URL"
"Negative","Loss","Five reef islands (northern Solomons)","Solomon Islands","Melanesia","-7.10","157.10","Approximate","Study area spans 33 islands in northern Solomon Islands; region centroid only.","Five vegetated reef islands vanished entirely between 1947 and 2014 and six more were severely eroded. Shoreline recession destroyed two villages that had existed since at least 1935, forcing community relocations.","Albert et al., Environmental Research Letters 11:054011 (2016)","https://iopscience.iop.org/article/10.1088/1748-9326/11/5/054011"
"Negative","Loss","Nuatambu Island","Solomon Islands","Melanesia","-7.1281","157.1603","Verified point","","Home to 25 families. Has lost more than half its habitable area, with 11 houses washed into the sea since 2011.","Albert et al. (2016), summarised by the authors in The Conversation","https://theconversation.com/sea-level-rise-has-claimed-five-whole-islands-in-the-pacific-first-scientific-evidence-58511"
"Negative","Loss","Nararo Island","Solomon Islands","Melanesia","-7.4880","158.3194","Approximate","Island point not confirmed. Coordinates are for the Kia archipelago, Isabel Province, the study area of Albert et al. (2016) where Nararo lies. Verify before publication.","Village abandoned as the sea moved inland; the community rebuilt on the hilltop away from the coast.","Reporting on Albert et al. (2016)","https://www.foxnews.com/science/5-pacific-islands-have-vanished"
"Negative","Loss","East Island, French Frigate Shoals","United States (Hawaii)","Polynesia","23.7489","-166.1461","Atoll/group centroid","French Frigate Shoals centroid; East Island itself lay approx. 23.78N 166.22W before 2018.","An 11-acre strip of sand and gravel washed away by Hurricane Walaka's storm surge in October 2018; only two slivers of land re-emerged. Key nesting site for green sea turtles and pupping ground for endangered monk seals. Whale-Skate Islet was lost to erosion in the 1990s and Trig Island eroded earlier in 2018.","NASA Earth Observatory","https://www.earthobservatory.nasa.gov/images/144346/an-island-disappears"
"Negative","Loss","Vunidogoloa, Vanua Levu","Fiji","Melanesia","-16.5814","179.5120","Approximate","Cakaudrove Province centroid; village point not confirmed. Village sits on Natewa Bay.","Community of around 150 people moved 2 km uphill in 2014 after successive seawalls failed and saltwater intrusion ruined coconut, breadfruit and banana cultivation. One of the first completed planned relocations in the Pacific.","Kaldor Centre Climate Mobility Hub; McMichael et al., The Geographical Journal (2019)","https://climatemobility.unsw.edu.au/planned-relocation/"
"Negative","Loss","Narikoso, Ono Island","Fiji","Melanesia","-18.9108","178.5052","Verified point","","Seven families welcomed into storm-resilient housing on higher ground in November 2020. The process took nearly a decade from first discussions in 2011.","Kaldor Centre Climate Mobility Hub","https://climatemobility.unsw.edu.au/planned-relocation/"
"Negative","Loss","Ha'apai island group","Tonga","Polynesia","-19.7500","-174.3667","Atoll/group centroid","Ha'apai comprises 51 islands; group centroid.","Coastal erosion has carved up to 40 metres of land off the island. In Hihifo District, reduced ENSO-linked rainfall combined with saltwater intrusion into the groundwater aquifer has left very little freshwater.","Earth.Org Tonga profile; Tonga PACC Joint National Action Plan","https://earth.org/data_visualization/sea-level-rise-by-2100-tonga/"
"Negative","Loss","Saoluafata village","Samoa","Polynesia","-13.8753","-171.6069","Verified point","","Villagers observed in 2007 that their coastline had retreated by roughly 50 metres since 1997.","EBSCO Research Starters synthesis","https://www.ebsco.com/research-starters/environmental-sciences/threat-sea-level-rise-pacific-nations"
"Negative","At risk","Taro Island, Choiseul Province","Solomon Islands","Melanesia","-6.7090","156.3959","Verified point","","Identified as likely to become the first provincial capital globally to relocate residents and services due to sea-level rise. Local rise runs 7-10 mm/yr, roughly three times the global average.","Albert et al., Environmental Research Letters 11:054011 (2016)","https://iopscience.iop.org/article/10.1088/1748-9326/11/5/054011"
"Negative","At risk","Ontong Java Atoll (Luaniua & Pelau)","Solomon Islands","Melanesia","-5.2667","159.3500","Atoll/group centroid","Atoll spans ~70 km from Luaniua (SE) to Pelau (N).","One of the world's largest atoll groups: 120 low coral islands enclosing a 70 km lagoon, with around 3,000 residents. Swamp taro, coconut and other traditional food sources under threat; relocation may be the only option. Some 600 people of Ontong Java descent already live without permanent homes at the Lord Howe Settlement in Honiara.","Earth Journalism Network","https://climate.earthjournalism.net/2015/12/08/troubled-waters-ahead-for-solomon-islands-residents/index.html"
"Negative","At risk","Roi-Namur, Kwajalein Atoll","Marshall Islands","Micronesia","9.3966","167.4716","Verified point","","The most instrumented atoll flooding site in the world. The March 2014 wave event overwashed the seaward side, raising groundwater and salinizing the freshwater lens. After the December 2008 overwash the main well drew full-strength seawater within two days and water remained non-potable for a further 22 months.","Storlazzi et al., Science Advances 4:eaap9741 (2018); Gingerich, Voss & Johnson, J. Hydrology (2017); USGS flood-depth dataset","https://www.science.org/doi/10.1126/sciadv.aap9741"
"Negative","At risk","Majuro","Marshall Islands","Micronesia","7.0900","171.3800","Approximate","Atoll capital; Majuro atoll extends over ~100 km of reef.","At 1 metre of sea-level rise, 40% of existing buildings would be endangered and 96% of the city subject to frequent flooding. High-tide flooding projected to rise from 2 to 20 events per year.","World Bank & Government of RMI, Adapting to Rising Sea Levels in Marshall Islands (2021)","https://www.worldbank.org/en/news/press-release/2021/10/29/marshall-islands-new-climate-study-visualizes-confronting-risk-of-projected-sea-level-rise"
"Negative","At risk","Runit Island & Runit Dome, Enewetak Atoll","Marshall Islands","Micronesia","11.5462","162.3522","Verified point","","A 115 m concrete dome built 1977-80 caps more than 120,000 tons of material contaminated by US nuclear testing, including plutonium. Cracks in the cap have raised concern about vulnerability to encroaching seas. Most of Runit Island sits about 2 m above sea level, with roughly 1 m of rise projected by 2100. A 2024 DOE Pacific Northwest National Laboratory investigation found storm surge and gradual rise would be the biggest factor spreading radionuclides through the atoll. DOE maintains the dome is not in imminent danger of collapse.","ABC News (March 2026); DOE Report to Congress","https://www.abc.net.au/news/2026-03-15/cracks-appear-in-runit-dome-amid-sea-level-rise/106423684"
"Negative","At risk","Bikini Atoll","Marshall Islands","Micronesia","11.6065","165.3768","Verified point","","Remains too contaminated to inhabit, including Bikini Island, the Marshall Islands' highest-lying atoll. Nuclear legacy has removed the country's most elevated land from the adaptation options.","ABC News (March 2026)","https://www.abc.net.au/news/2026-03-15/cracks-appear-in-runit-dome-amid-sea-level-rise/106423684"
"Negative","At risk","Kiribati (national)","Kiribati","Micronesia","1.3500","172.9800","Approximate","Tarawa (capital atoll) used as the reference point. Kiribati spans 33 atolls across 3.5 million sq km, so a true country centroid would fall in open ocean far from any population.","Sea level rose 5-11 cm over the past 30 years, with a further 15-30 cm likely by 2050 and 50-100 cm by 2100. Areas with fewer than five high-tide flood days per year today face an average of 65 annually by the 2050s.","NASA Sea Level Change Team, Closer Look: Kiribati (2025)","https://sealevel.nasa.gov/news/276/nasa-sea-level-team-examines-an-island-nation-at-risk/"
"Negative","At risk","Funafuti / Fongafale","Tuvalu","Polynesia","-8.5205","179.1980","Verified point","","At high tide the ocean surges up through the porous ground, flooding the country's only international airport runway. Areas with fewer than five flood days per year today could average 25 by the 2050s.","NASA/JPL (2024); ABC News (May 2026)","https://www.jpl.nasa.gov/news/nasa-analysis-shows-irreversible-sea-level-rise-for-pacific-islands/"
"Negative","At risk","Boigu, Poruma, Warraber & Masig","Australia (Torres Strait)","Melanesia","-9.7516","143.4082","Representative point","Masig Island shown. Boigu approx. 9.25S 142.22E; Poruma 10.05S 143.07E; Warraber 10.21S 142.82E.","The UN Human Rights Committee found in Billy et al. v. Australia (2022) that Australia violated Islanders' rights to culture and to freedom from arbitrary interference with private, family and home life through inadequate climate protection. On Masig, saltwater seepage has diseased coconut trees and killed the fruit. The Committee noted a 10-15 year window for affirmative measures including relocation.","UN Human Rights Committee, CCPR/C/135/D/3624/2019 (23 Sept 2022)","https://www.ohchr.org/en/press-releases/2022/09/australia-violated-torres-strait-islanders-rights-enjoy-culture-and-family"
"Negative","At risk","Atafu, Nukunonu & Fakaofo","Tokelau (New Zealand)","Polynesia","-8.5545","-172.4956","Representative point","Atafu shown. Nukunonu approx. 9.17S 171.80W; Fakaofo approx. 9.38S 171.22W.","All three atolls sit a maximum of two metres above the high-water level of ordinary tides, across 12 sq km of land with about 1,500 residents. Atafu suffered significant inundation and erosion during Cyclone Percy in 2005. Community research identified seawall construction and edge planting as priorities for staying in place.","UNDRR; University of Auckland Tokelau country summary (2024)","https://www.undrr.org/news/resilience-two-metres-above-sea-level"
"Negative","At risk","Chuuk Lagoon","Micronesia (FSM)","Micronesia","7.1345","151.5074","Atoll/group centroid","Lagoon surface area ~822 sq miles containing 15 main islands.","Densely populated with the vast majority of people living on the immediate coastline. December 2008 tidal surges flooded homes and businesses, prompting a presidential emergency declaration and evacuations.","Permanent Mission of FSM to the UN","https://sustainabledevelopment.un.org/content/dsd/resources/res_pdfs/ga-64/cc-inputs/Micronesia_CCIS.pdf"
"Negative","At risk","Woleai, Eauripik, Satawan, Lukunor, Kapingamarangi, Nukuoro, Utwe & Malem","Micronesia (FSM)","Micronesia","7.4256","150.5508","National centroid","Federated States of Micronesia country centroid. Row covers eight dispersed sites spanning >1,500 km, from Woleai (approx. 7.4N 143.9E) to Kapingamarangi (approx. 1.1N 154.8E); split into separate rows if mapping individually.","Adaptation Fund project providing climate-resilient infrastructure to help communities relocate from high-risk coastal inundation sites, alongside water security and flood/drought risk reduction. Kapingamarangi and Nukuoro are Polynesian outlier atolls among the country's lowest-lying land.","Adaptation Fund, Enhancing the Climate Resilience of Vulnerable Island Communities in FSM","https://www.adaptation-fund.org/project/enhancing-climate-change-resilience-vulnerable-island-communities-federated-states-micronesia/"
